time,open,high,low,close,tick_volume,spread,real_volume,point
2024-09-11,2518.638,2529.086,2500.844,2511.893,193427,0,0,0.001
2024-09-12,2511.901,2560.091,2510.973,2558.422,193081,0,0,0.001
2024-09-13,2558.419,2586.12,2556.78,2579.067,172961,0,0,0.001
2024-09-15,2578.456,2580.454,2577.582,2579.163,7257,0,0,0.001
2024-09-16,2579.17,2589.651,2575.285,2583.659,139447,0,0,0.001
2024-09-17,2583.683,2586.956,2560.661,2574.05,164881,0,0,0.001
2024-09-18,2574.019,2600.138,2546.828,2559.239,254151,0,0,0.001
2024-09-19,2559.239,2594.963,2550.894,2587.282,209005,0,0,0.001
2024-09-20,2587.254,2625.754,2584.714,2622.098,185221,0,0,0.001
2024-09-22,2620.944,2622.119,2619.63,2620.234,5589,0,0,0.001
2024-09-23,2620.202,2634.881,2613.799,2626.3,161989,0,0,0.001
2024-09-24,2626.295,2664.366,2622.524,2658.204,201347,0,0,0.001
2024-09-25,2658.163,2670.629,2649.566,2656.24,188275,0,0,0.001
2024-09-26,2656.359,2685.611,2654.717,2672.601,223870,0,0,0.001
2024-09-27,2672.61,2674.269,2642.994,2657.983,209353,0,0,0.001
2024-09-29,2661.714,2665.106,2659.762,2663.543,9821,0,0,0.001
2024-09-30,2663.58,2666.069,2624.679,2635.634,202799,0,0,0.001
2024-10-01,2635.66,2673.222,2633.911,2660.361,202194,0,0,0.001
2024-10-02,2660.39,2663.387,2641.038,2660.328,170820,0,0,0.001
2024-10-03,2660.299,2662.968,2637.964,2655.804,184387,0,0,0.001
2024-10-04,2655.8,2670.167,2632.031,2653.519,203717,0,0,0.001
2024-10-06,2651.575,2652.397,2649.675,2650.158,6824,0,0,0.001
2024-10-07,2650.103,2659.613,2637.728,2642.944,173705,0,0,0.001
2024-10-08,2642.962,2653.012,2604.686,2621.868,241960,0,0,0.001
2024-10-09,2621.868,2624.321,2605.116,2608.476,175163,0,0,0.001
2024-10-10,2608.438,2636.019,2602.26,2633.149,198131,0,0,0.001
2024-10-11,2633.161,2661.462,2631.952,2656.864,151587,0,0,0.001
2024-10-13,2650.086,2652.472,2646.866,2648.091,9810,0,0,0.001
2024-10-14,2648.131,2666.838,2643.075,2649.357,155990,0,0,0.001
2024-10-15,2649.419,2668.93,2637.975,2660.5,174463,0,0,0.001
2024-10-16,2660.498,2685.394,2658.722,2674.087,175429,0,0,0.001
2024-10-17,2674.122,2696.788,2673.155,2693.706,191698,0,0,0.001
2024-10-18,2693.669,2722.633,2692.73,2721.778,182442,0,0,0.001
2024-10-20,2723.092,2725.145,2720.179,2723.416,7432,0,0,0.001
2024-10-21,2723.457,2740.552,2714.204,2721.483,211005,0,0,0.001
2024-10-22,2721.483,2748.908,2720.633,2746.553,170385,0,0,0.001
2024-10-23,2746.557,2758.508,2708.63,2721.258,211261,0,0,0.001
2024-10-24,2721.219,2743.208,2717.752,2733.844,178049,0,0,0.001
2024-10-25,2733.885,2747.774,2716.956,2747.023,158893,0,0,0.001
2024-10-27,2733.443,2740.176,2730.34,2735.815,12776,0,0,0.001
2024-10-28,2735.783,2745.917,2724.631,2744.427,158784,0,0,0.001
2024-10-29,2744.379,2775.383,2743.203,2774.915,180568,0,0,0.001
2024-10-30,2774.943,2790.075,2770.804,2785.49,176119,0,0,0.001
2024-10-31,2785.489,2790.084,2731.515,2746.691,197598,0,0,0.001
2024-11-01,2746.672,2762.261,2733.113,2736.69,186424,0,0,0.001
2024-11-03,2732.846,2740.334,2732.568,2738.352,5441,0,0,0.001
2024-11-04,2738.379,2748.215,2731.742,2736.001,162008,0,0,0.001
2024-11-05,2736.046,2749.917,2724.695,2745.707,157445,0,0,0.001
2024-11-06,2745.684,2749.681,2652.335,2664.048,373110,0,0,0.001
2024-11-07,2664.035,2710.317,2643.217,2706.866,239577,0,0,0.001
2024-11-08,2706.87,2710.418,2680.286,2684.758,201048,0,0,0.001
2024-11-10,2683.161,2685.65,2681.526,2685.605,3709,0,0,0.001
2024-11-11,2685.638,2686.141,2610.53,2624.038,210697,0,0,0.001
2024-11-12,2624.026,2627.162,2589.596,2598.956,233933,0,0,0.001
2024-11-13,2599.011,2618.841,2569.214,2570.989,226862,0,0,0.001
2024-11-14,2571.012,2577.447,2536.755,2566.899,243258,0,0,0.001
2024-11-15,2566.888,2576.06,2554.406,2562.969,202809,0,0,0.001
2024-11-17,2568.027,2575.523,2568.027,2571.441,5698,0,0,0.001
2024-11-18,2571.403,2615.104,2569.866,2612.704,190681,0,0,0.001
2024-11-19,2612.731,2639.473,2611.057,2635.166,199480,0,0,0.001
2024-11-20,2635.157,2655.433,2618.864,2652.124,172845,0,0,0.001
2024-11-21,2652.153,2673.522,2650.325,2669.159,179694,0,0,0.001
2024-11-22,2669.127,2715.658,2668.853,2715.573,214309,0,0,0.001
2024-11-24,2711.186,2721.405,2710.748,2719.756,8444,0,0,0.001
2024-11-25,2719.727,2720.136,2605.112,2610.461,324790,0,0,0.001
2024-11-26,2610.527,2641.993,2608.451,2632.254,231795,0,0,0.001
2024-11-27,2632.253,2658.206,2627.017,2637.168,182312,0,0,0.001
2024-11-28,2637.063,2649.674,2620.844,2638.767,122238,0,0,0.001
2024-11-29,2638.726,2666.383,2633.969,2655.23,154273,0,0,0.001
2024-12-01,2649.054,2650.324,2643.053,2645.659,5596,0,0,0.001
2024-12-02,2645.756,2651.794,2621.838,2642.211,226417,0,0,0.001
2024-12-03,2642.228,2655.665,2634.033,2642.721,183325,0,0,0.001
2024-12-04,2642.725,2657.184,2632.33,2650.397,188270,0,0,0.001
2024-12-05,2650.404,2655.518,2623.444,2633.713,173691,0,0,0.001
2024-12-06,2633.721,2645.733,2612.931,2632.92,204943,0,0,0.001
2024-12-08,2642.963,2648.524,2636.316,2640.064,8040,0,0,0.001
2024-12-09,2640.064,2676.445,2627.461,2660.449,196964,0,0,0.001
2024-12-10,2660.489,2698.378,2657.958,2695.986,180768,0,0,0.001
2024-12-11,2695.911,2721.052,2675.566,2719.922,185204,0,0,0.001
2024-12-12,2719.984,2726.206,2675.077,2680.623,73747,0,0,0.001
2024-12-13,2680.617,2692.778,2646.046,2648.392,70305,0,0,0.001
2024-12-15,2649.414,2653.127,2648.793,2651.479,1933,0,0,0.001
2024-12-16,2651.484,2664.447,2643.523,2651.744,118330,0,0,0.001
2024-12-17,2651.762,2658.639,2632.966,2647.378,161370,0,0,0.001
2024-12-18,2647.365,2651.746,2583.39,2588.225,184676,0,0,0.001
2024-12-19,2588.256,2626.43,2586.951,2593.519,208767,0,0,0.001
2024-12-20,2593.496,2631.875,2589.593,2622.643,178657,0,0,0.001
2024-12-22,2623.329,2624.907,2621.731,2624.293,1858,0,0,0.001
2024-12-23,2624.399,2633.259,2608.117,2615.492,123872,0,0,0.001
2024-12-24,2615.546,2621.472,2610.019,2616.713,100839,0,0,0.001
2024-12-25,2615.621,2620.115,2615.371,2618.656,2409,0,0,0.001
2024-12-26,2618.647,2639.177,2618.611,2632.684,118078,0,0,0.001
2024-12-27,2632.689,2638.314,2611.579,2621.623,135559,0,0,0.001
2024-12-29,2621.977,2626.159,2621.632,2624.035,4005,0,0,0.001
2024-12-30,2624.08,2628.111,2596.07,2606.677,141329,0,0,0.001
2024-12-31,2606.717,2627.541,2602.591,2624.381,122278,0,0,0.001
2025-01-01,2625.179,2625.839,2621.668,2623.766,3104,0,0,0.001
2025-01-02,2623.798,2660.463,2622.754,2658.327,161278,0,0,0.001
2025-01-03,2658.328,2665.253,2636.623,2640.37,133478,0,0,0.001
2025-01-05,2639.644,2642.398,2639.644,2641.063,3236,0,0,0.001
2025-01-06,2641.098,2649.515,2614.419,2634.676,194793,0,0,0.001
2025-01-07,2634.625,2664.264,2632.918,2649.807,170823,0,0,0.001
2025-01-08,2649.817,2670.053,2645.202,2662.507,162497,0,0,0.001
2025-01-09,2662.526,2678.333,2655.437,2669.951,135964,0,0,0.001
2025-01-10,2669.958,2698.026,2663.994,2689.589,273893,0,0,0.001
