time,open,high,low,close,tick_volume,spread,real_volume,point
2024-07-26 13:00:00,2377.455,2379.975,2373.945,2378.946,5679,0,0,0.001
2024-07-26 13:30:00,2378.916,2383.224,2376.419,2381.677,6623,0,0,0.001
2024-07-26 14:00:00,2381.584,2390.799,2380.354,2384.893,7695,0,0,0.001
2024-07-26 14:30:00,2384.931,2387.621,2380.934,2381.969,5750,0,0,0.001
2024-07-26 15:00:00,2381.914,2386.526,2379.909,2384.647,4755,0,0,0.001
2024-07-26 15:30:00,2384.597,2386.88,2383.722,2385.132,3093,0,0,0.001
2024-07-26 16:00:00,2385.164,2389.113,2384.606,2387.834,3175,0,0,0.001
2024-07-26 16:30:00,2387.842,2390.369,2386.671,2389.117,2986,0,0,0.001
2024-07-26 17:00:00,2389.081,2389.21,2381.732,2382.129,2967,0,0,0.001
2024-07-26 17:30:00,2382.158,2384.633,2381.125,2383.374,2741,0,0,0.001
2024-07-26 18:00:00,2383.37,2386.207,2382.968,2385.378,2299,0,0,0.001
2024-07-26 18:30:00,2385.379,2385.392,2382.753,2384.311,2143,0,0,0.001
2024-07-26 19:00:00,2384.364,2386.439,2382.656,2385.618,2064,0,0,0.001
2024-07-26 19:30:00,2385.662,2387.038,2384.069,2386.272,2205,0,0,0.001
2024-07-26 20:00:00,2386.312,2388.265,2385.43,2386.464,1758,0,0,0.001
2024-07-26 20:30:00,2386.45,2388.853,2385.973,2387.114,1499,0,0,0.001
2024-07-28 22:00:00,2387.944,2403.181,2387.853,2397.165,4485,0,0,0.001
2024-07-28 22:30:00,2397.153,2398.368,2395.069,2395.767,2556,0,0,0.001
2024-07-28 23:00:00,2395.807,2397.323,2394.621,2395.711,1901,0,0,0.001
2024-07-28 23:30:00,2395.71,2398.994,2394.999,2397.091,2214,0,0,0.001
2024-07-29 00:00:00,2397.055,2399.17,2397.002,2398.748,2408,0,0,0.001
2024-07-29 00:30:00,2398.682,2401.614,2397.842,2400.056,3163,0,0,0.001
2024-07-29 01:00:00,2400.086,2402.488,2395.296,2395.785,6114,0,0,0.001
2024-07-29 01:30:00,2395.803,2396.175,2388.599,2392.725,4881,0,0,0.001
2024-07-29 02:00:00,2392.682,2394.214,2390.894,2393.367,3220,0,0,0.001
2024-07-29 02:30:00,2393.347,2394.702,2391.308,2393.24,2914,0,0,0.001
2024-07-29 03:00:00,2393.211,2395.228,2392.153,2393.346,2822,0,0,0.001
2024-07-29 03:30:00,2393.314,2394.76,2391.888,2394.526,1874,0,0,0.001
2024-07-29 04:00:00,2394.505,2395.976,2393.879,2394.413,2119,0,0,0.001
2024-07-29 04:30:00,2394.426,2395.768,2393.286,2394.824,1991,0,0,0.001
2024-07-29 05:00:00,2394.82,2396.263,2393.624,2394.08,2167,0,0,0.001
2024-07-29 05:30:00,2394.114,2394.259,2390.218,2392.792,3328,0,0,0.001
2024-07-29 06:00:00,2392.75,2395.44,2391.86,2392.381,2834,0,0,0.001
2024-07-29 06:30:00,2392.376,2395.439,2390.669,2391.752,3160,0,0,0.001
2024-07-29 07:00:00,2391.765,2392.473,2389.49,2392.123,3725,0,0,0.001
2024-07-29 07:30:00,2392.134,2394.422,2389.951,2391.569,3736,0,0,0.001
2024-07-29 08:00:00,2391.558,2392.762,2387.041,2387.792,3474,0,0,0.001
2024-07-29 08:30:00,2387.796,2391.057,2386.926,2390.342,3086,0,0,0.001
2024-07-29 09:00:00,2390.374,2393.176,2390.339,2392.731,2746,0,0,0.001
2024-07-29 09:30:00,2392.758,2393.49,2389.822,2392.702,2769,0,0,0.001
2024-07-29 10:00:00,2392.783,2395.368,2392.013,2394.848,2377,0,0,0.001
2024-07-29 10:30:00,2394.844,2395.345,2392.246,2392.608,2814,0,0,0.001
2024-07-29 11:00:00,2392.567,2393.012,2390.119,2390.466,2578,0,0,0.001
2024-07-29 11:30:00,2390.511,2391.823,2386.809,2387.729,3127,0,0,0.001
2024-07-29 12:00:00,2387.74,2391.015,2385.385,2390.319,4764,0,0,0.001
2024-07-29 12:30:00,2390.242,2394.19,2389.855,2393.785,3940,0,0,0.001
2024-07-29 13:00:00,2393.777,2396.786,2391.875,2393.542,4508,0,0,0.001
2024-07-29 13:30:00,2393.586,2396.424,2389.799,2391.849,6673,0,0,0.001
2024-07-29 14:00:00,2391.912,2394.031,2388.265,2390.309,5123,0,0,0.001
2024-07-29 14:30:00,2390.281,2390.861,2380.045,2381.258,6159,0,0,0.001
2024-07-29 15:00:00,2381.219,2382.993,2369.495,2374.851,7651,0,0,0.001
2024-07-29 15:30:00,2374.897,2379.729,2372.996,2376.796,5059,0,0,0.001
2024-07-29 16:00:00,2376.832,2377.822,2374.461,2376.828,3090,0,0,0.001
2024-07-29 16:30:00,2376.844,2378.987,2376.398,2378.082,3048,0,0,0.001
2024-07-29 17:00:00,2378.115,2382.928,2377.441,2380.022,3831,0,0,0.001
2024-07-29 17:30:00,2380.064,2383.45,2378.09,2378.27,2984,0,0,0.001
2024-07-29 18:00:00,2378.296,2380.522,2376.936,2379.207,2510,0,0,0.001
2024-07-29 18:30:00,2379.154,2380.777,2378.116,2379.563,2095,0,0,0.001
2024-07-29 19:00:00,2379.619,2383.92,2378.31,2383.449,2557,0,0,0.001
2024-07-29 19:30:00,2383.499,2385.49,2382.585,2383.092,2544,0,0,0.001
2024-07-29 20:00:00,2383.048,2384.573,2382.316,2382.508,1681,0,0,0.001
2024-07-29 20:30:00,2382.439,2384.136,2381.247,2383.876,1024,0,0,0.001
2024-07-29 22:00:00,2382.68,2383.61,2382.174,2383.405,820,0,0,0.001
2024-07-29 22:30:00,2383.461,2384.948,2383.454,2384.073,708,0,0,0.001
2024-07-29 23:00:00,2384.074,2384.29,2381.303,2382.211,1305,0,0,0.001
2024-07-29 23:30:00,2382.228,2382.677,2380.885,2381.143,1331,0,0,0.001
2024-07-30 00:00:00,2381.186,2383.223,2380.17,2380.888,1906,0,0,0.001
2024-07-30 00:30:00,2380.894,2383.873,2380.748,2381.85,2002,0,0,0.001
2024-07-30 01:00:00,2381.843,2382.425,2377.884,2377.968,4686,0,0,0.001
2024-07-30 01:30:00,2378.006,2381.192,2376.471,2379.79,4155,0,0,0.001
2024-07-30 02:00:00,2379.739,2381.461,2378.721,2379.428,2431,0,0,0.001
2024-07-30 02:30:00,2379.475,2383.236,2378.52,2381.743,3347,0,0,0.001
2024-07-30 03:00:00,2381.789,2384.609,2381.454,2384.407,3137,0,0,0.001
2024-07-30 03:30:00,2384.367,2385.963,2383.338,2385.741,1860,0,0,0.001
2024-07-30 04:00:00,2385.73,2387.071,2385.644,2386.728,1771,0,0,0.001
2024-07-30 04:30:00,2386.715,2388.334,2385.823,2386.332,2157,0,0,0.001
2024-07-30 05:00:00,2386.4,2387.619,2386.006,2386.865,1962,0,0,0.001
2024-07-30 05:30:00,2386.907,2389.882,2386.235,2388.703,3542,0,0,0.001
2024-07-30 06:00:00,2388.734,2390.294,2387.731,2389.666,3427,0,0,0.001
2024-07-30 06:30:00,2389.643,2391.012,2387.772,2390.306,3067,0,0,0.001
2024-07-30 07:00:00,2390.364,2391.971,2388.849,2389.893,3364,0,0,0.001
2024-07-30 07:30:00,2389.85,2391.55,2389.149,2390.225,2751,0,0,0.001
2024-07-30 08:00:00,2390.264,2391.517,2388.537,2390.14,2887,0,0,0.001
2024-07-30 08:30:00,2390.142,2390.999,2388.901,2389.458,2239,0,0,0.001
2024-07-30 09:00:00,2389.451,2389.759,2387.795,2388.782,2363,0,0,0.001
2024-07-30 09:30:00,2388.765,2390.079,2388.288,2389.089,2155,0,0,0.001
2024-07-30 10:00:00,2389.057,2391.251,2388.676,2389.511,2140,0,0,0.001
2024-07-30 10:30:00,2389.495,2392.44,2387.867,2391.646,2711,0,0,0.001
2024-07-30 11:00:00,2391.668,2392.165,2390.207,2390.366,2461,0,0,0.001
2024-07-30 11:30:00,2390.409,2391.688,2386.872,2387.115,2604,0,0,0.001
2024-07-30 12:00:00,2387.109,2388.327,2385.897,2386.959,3433,0,0,0.001
2024-07-30 12:30:00,2386.917,2388.249,2385.669,2386.505,3175,0,0,0.001
2024-07-30 13:00:00,2386.552,2395.156,2385.739,2394.513,5870,0,0,0.001
2024-07-30 13:30:00,2394.562,2397.798,2391.486,2394.102,7363,0,0,0.001
2024-07-30 14:00:00,2394.048,2394.142,2387.588,2393.378,7804,0,0,0.001
2024-07-30 14:30:00,2393.335,2395.975,2391.115,2391.73,5631,0,0,0.001
2024-07-30 15:00:00,2391.682,2392.454,2383.843,2386.147,5532,0,0,0.001
2024-07-30 15:30:00,2386.164,2388.544,2383.32,2385.26,4205,0,0,0.001
2024-07-30 16:00:00,2385.303,2391.494,2384.953,2390.335,3506,0,0,0.001
2024-07-30 16:30:00,2390.375,2400.277,2389.734,2399.745,4712,0,0,0.001
2024-07-30 17:00:00,2399.773,2411.07,2399.773,2406.653,8674,0,0,0.001
2024-07-30 17:30:00,2406.705,2408.836,2402.625,2405.703,4087,0,0,0.001
2024-07-30 18:00:00,2405.735,2407.363,2404.129,2405.31,2931,0,0,0.001
2024-07-30 18:30:00,2405.36,2406.167,2403.606,2404.83,2274,0,0,0.001
2024-07-30 19:00:00,2404.847,2407.814,2403.779,2407.654,2112,0,0,0.001
2024-07-30 19:30:00,2407.643,2408.413,2405.272,2407.008,2369,0,0,0.001
